Sujeto,Relación,Objeto,origen
Doña Marina Ortiz de Gaete,heredera de,derechos territoriales de Pedro de Valdivia,chile1_6580
Doña Marina Ortiz de Gaete,litigante contra,Rodrigo de Quiroga,chile1_6581
Doña María Ignacia Rameri,lugar de origen,Vizcaína,chile4_17330
Doña Mercedes Risco i Ciudad,estado civil previo,Viuda del marqués de Santa Rosa,chile4_17137
Doña Rafaela Vera,lugar de origen,Santa Fe en el virreinato de Buenos Aires,chile4_17333
Doña Rosa Rodriguez,relación familiar con,Jeneral O'Higgins como hermana materna,chile4_894
Doña Sebastiana de Avendaño,esposa de,doctor don Cristóbal de la Cerda,chile4_9260
Doña Sebastiana de Avendaño,condición religiosa de,monja,chile4_9261
Doña Sebastiana de Avendaño,relación con doctor Cerda,esposa,chile4_8538
Dr. don Juan de la Peña Salazar,cargo,oidor,chile4_15279
Dragones,tipo de armamento,carabina y sable,chile4_18216
Dragones de Tucapel,número de efectivos,ochenta,chile4_1645
Dragones de frontera,número de hombres,500,chile4_18209
Dragones de frontera,organización en,ocho compañías,chile4_18210
Dragones de frontera,tipo de uniforme,"casaca, capa, chupa y calzón azules, vuelta y vivo encarnados, botón dorado",chile4_18214
Dragones de frontera,ubicación en,provincia de Concepción,chile4_18208
Dragones de la reina,ubicación en,Santiago,chile4_18211
Dragones de la reina,tipo de uniforme,"casaca y calzón azules, chupa, vuelta, solapa y collarín encarnados, botón blanco",chile4_18215
Dragones de la reina,número de hombres,50,chile4_18212
Dragones de la reina,organización en,una compañía,chile4_18213
Dragontea,cantos sobre expedición de Hawkins,"II, III y IV",chile1_8410
Drake,lugar de aparición según aviso,mares del Perú,chile1_6782
Drake y sus compañeros,fecha de observación de eclipse de luna,15 de septiembre,chile1_6662
Drupeurr blanc,tipo de publicación,Diario ultralejitimista de París,chile4_4042
Duao,descripción geográfica,"país capaz, de buen temple y muy fértil",chile4_12150
Duao,ubicación,riberas del Maule,chile4_12151
Duarte Barbosa,fecha de muerte,1 de mayo de 1521,chile1_1258
Duarte Barbosa,causa de muerte,asesinado por los indios,chile1_1260
Duarte Barbosa,lugar de muerte,isla de Zebú (Filipinas),chile1_1259
Duarte Barbosa,ocupación,capitán portugués,chile1_1255
Duarte Barbosa,participante de,expedición de Magallanes,chile1_1257
Duarte Barbosa,relación con Magallanes,pariente,chile1_1256
Duarte Barbosa,autor de,descripción geográfica de países orientales en 1516,chile1_1261
Duclos Guyot,cargo,capitán,chile4_15995
Duclos Guyot,relación de trabajo,compañero de Bougainville,chile4_15996
Dumont D'Urville,cargo de,marino,chile1_9107
Dumont D'Urville,fecha de reconocimiento de Shetland Austral,febrero y marzo de 1838,chile1_9108
Dumont D'Urville,nacionalidad,francés,chile1_9106
Dumouriez,cargo militar,general francés,chile4_78
Dumouriez,autor de,Mémoires et correspondance inédits du général Dumouriez,chile4_80
Duque de Anjou,edad al inicio de reinado,diecisiete años,chile4_14690
Duque de Berry,parentesco,hermano de Felipe de Anjou,chile4_14634
Duque de Lerma,rol político,gobernó bajo Felipe III,chile4_14639
Duque de Lerma,rol político durante el reinado de Felipe III,favorito del Rey,chile1_10133
Duque de Lerma,duración de administración,veinte años,chile1_10134
Duque de Medina Celi,cargo de,virrey de Nápoles,chile1_8829
Duque de Medina Sidonia,cargo de,capitán general de Andalucía,chile1_8662
Duque de Montalto,autor de,cartas a don Pedro Ronquillo,chile4_14673
Duque de Osuna,cargo de,embajador español en Francia,chile4_15494
Duque de Pastrana,cargo de,Encargado de llevar regalos reales a María Luisa de Orleans,chile4_14554
Duque de Saboya,parentesco,nacido de princesas españolas,chile4_14630
Duque de Saboya,pretendiente al trono español,despojos de Carlos II,chile4_14626
Duque de Saint Simon,cargo diplomático,embajador de Francia,chile4_13995
Duque de Saint Simon,período de residencia en España,1721 y 1722,chile4_13996
Duque de Saint Simon,autor de,Mémoires,chile4_13997
Duque de York,cargo de,primer almirante de Gran Bretaña,chile4_11699
Duque de York,hermano de,Carlos II rey de Inglaterra,chile4_11700
Duque de la Palata,actitud hacia,todos los ingleses,chile4_12005
Duque de la Palata,cargo de,virrey del Perú,chile4_12695
Duque de la Palata,autor de,carta al Rey de 20 de junio de 1688,chile4_11990
Duque de la Palata,cargo de,Virrey del Perú,chile4_13671
Duque de la Palata,cargo,virrey del Perú,chile4_13338
Duque de la Palata,autor de,Relación de gobierno,chile4_14025
Duque de la Palata,cargo de,Virrey del Perú,chile4_12597
Duque de la Palata,cargo,Virrey del Perú,chile4_13436
Duque de la Palata,cargo,gobernador del reino del Perú,chile4_13645
Duque de la Palata,cargo,virrey del Perú,chile4_14024
Duque de la Palata,política hacia filibusteros apresados,aplicación de pena de muerte,chile4_12004
Duque de la Palata,año de inicio de gobierno,1681,chile4_13646
Duque de la Palata,autor de,Relación (documento sobre virreinato),chile4_13437
Duque de la Palata,cargo de,Virrey del Perú,chile4_12809
Durret,autor de,Voyage de Marseille à Lima et dans les autres lieux des Indes occidentales,chile4_15323
Dámaso Herquiñigo,rol de,parlamentario de Barnachea,chile4_774
Dámaso Herquiñigo,condición anterior,antiguo oficial realista,chile4_773
Dámaso Uriburu,cargo de,Cónsul de Bolivia en Valparaíso,chile4_5948
Déficit anual en 1823,monto de,"666,948 pesos",chile4_1449
Déficit fiscal de Chile en 1824,monto,1.092.708 pesos,chile4_3390
Día de Ascensión,fecha de recepción del mensajero,4 de junio,chile1_1699
E. Renan,autor de,Souvenirs d'enfance et de jeunesse,chile1_3404
E. Renan,autor de,De l'origine du langage,chile1_212
E. S. Cameron,cargo de,agente de compañía minera inglesa,chile4_4468
E. S. Cameron,fecha de llegada a Chile,mayo de 1825,chile4_4469
E.G. Squier,ocupación,arqueólogo estadounidense,chile1_207
Eclipse total de luna,fecha de ocurrencia,Mayo de 1584,chile1_7353
Edición Londres 1826 de obra de Lacunza,contenido adicional,retrato del autor,chile4_19948
Edición Londres 1826 de obra de Lacunza,característica,mejor de todas,chile4_19946
Edición Londres 1826 de obra de Lacunza,contenido adicional,biografía del autor,chile4_19947
Edición corregida de Arte de la lengua general del reino de Chile,lugar de publicación,Santiago,chile1_496
Edición corregida de Arte de la lengua general del reino de Chile,año de publicación,1846,chile1_497
Edición de 1776 de obra de Solórzano,editor,don Francisco Ramiro de Valenzuela,chile4_13755
Edición de La Araucana por González de Barcía,año de publicación,1733,chile1_5275
Edición de La Araucana por González de Barcía,lugar de publicación,Madrid,chile1_5276
Edición de continuación de La Araucana por González de Barcía,año de publicación,1735,chile1_5278
Edificio de aduana construido por Muñoz de Guzmán,uso en época del documento,Palacio de los tribunales de justicia,chile4_17526
Edificio de aduana construido por Muñoz de Guzmán,ubicación,Terreno que ocupó el Convictorio de San Francisco Javier,chile4_17525
Edificio de casa de aduana y cajas reales,ubicación,Plaza principal de la ciudad,chile4_17527
Edificio de casa de aduana y cajas reales,año de terminación,1807,chile4_17528
Edificio de casa de aduana y cajas reales,uso en época del documento,Intendencia,chile4_17529
Edificio de cocheras de empleados de moneda de 1804,uso posterior,Cuartel de artillería,chile4_17523
Edificio del consulado,uso en época del documento,Biblioteca pública,chile4_17542
Edificio del consulado,fecha de inauguración,19 de enero de 1807,chile4_17538
Edificio del consulado,ubicación,Inmediaciones de la aduana,chile4_17537
Edificio del consulado,rol en,Asambleas populares del 18 de septiembre de 1810,chile4_17539
Edificio del consulado,rol en,Asambleas populares del 28 de febrero de 1813,chile4_17540
Edificio del consulado,uso posterior,Asiento del congreso nacional,chile4_17541
Editorial Universitaria S.A.,correo electrónico,editoria@ctcinternet.cl,chile4_7656
Editorial Universitaria S.A.,email,editoria@ctcinternet.cl,chile1_3684
Editorial Universitaria S.A.,dirección en 1999,"María Luisa Santander 0447, Santiago de Chile",chile1_3683
Editorial Universitaria S.A.,dirección,"María Luisa Santander 0447, Santiago de Chile",chile4_7655
Edmond Reuel Smith,miembro de,comisión astronómica estadounidense,chile1_970
Edmond Reuel Smith,autor de,The Araucanians; or notes of a residence among the indian tribes of southern Chili,chile1_966
Edmond Scherer,autor de,Études critiques sur la littérature contemporaine,chile1_3620
Eduardo Castro Le-Fort,miembro de,Comité Editorial de Historia General de Chile,chile4_11129
Eduardo Castro Le-Fort,miembro de,Comité Editorial de Historia General de Chile,chile1_7133
Eduardo Castro Le-Fort,miembro de,Comité Editorial de Historia general de Chile,chile1_3642
Eduardo Castro Le-Fort,miembro de comité editorial de,Historia general de Chile,chile1_6
Eduardo Castro Le-Fort,miembro de,Comité Editorial de Historia General de Chile,chile4_7644
Eduardo Davis,cargo de,Comandante de fuerzas expedicionarias,chile4_12620
Eduardo Davis,comandante de,campaña de filibusteros en el Pacífico,chile4_12500
Eduardo Davis,acción militar,rechazado en La Serena,chile4_15627
Eduardo Davis,actividad,comandante de filibusteros en el Pacífico,chile4_15626
Eduardo Davis,sucesor de,Juan Cook,chile4_12621
Eduardo González de Amiñero,ocupación,Ingeniero,chile4_17548
Eduardo González de Amiñero,encargo de,Levantar planos de frontera de indios araucanos,chile4_17549
Eduardo Irving,rol en traducción inglesa,traductor,chile4_19951
Eduardo Irving,característica de juicio,inclinado a lo paradojal,chile4_19953
Eduardo Irving,característica personal,hombre de gran talento,chile4_19952
Edward B. Tylor,autor de,Primitive culture,chile1_193
Edward Cooke,autor de,A voyage to the South Sea and round the world,chile4_15120
Edward Cooke,fecha de publicación de su obra,"Londres, 1712",chile4_15121
Edward Fenton,líder de,expedición corsaria inglesa de 1582,chile1_7323
Edward Harris,cargo de,guardia marina en corbeta británica,chile4_2722
Egas Venegas,cargo de,oidor de la Audiencia de Chile,chile1_6144
Egas Venegas,cargo de trabajo,Visitador,chile1_6365
Egas Venegas,propietario de,casa de alojamiento del Gobernador en Concepción,chile1_6145
Egas Venegas,fecha de llegada a La Serena,fines de abril de 1567,chile1_6057
Egas Venegas,fecha de llegada a Lima,mayo de 1566,chile1_6055
Egas Venegas,cargo de,oidor de la Real Audiencia de Concepción,chile1_6051
Egaña,autor de,informe sobre reforma constitucional,chile4_7131
Egaña,colaborador de,Errázuriz,chile4_2678
Egaña,oficio al gobierno de Buenos Aires,agosto de 1823,chile4_2174
Egaña,cargo de,ministro del gobierno de Chile,chile4_2173
Egaña,cargo de ministro de,Freire,chile4_649
Egipcios,conocimiento de América,desconocida,chile1_120
Egipto,comparable con,civilización antigua de América,chile1_105
Eizaguirre,cargo de,gobernador del departamento de Victoria,chile4_6150
Ejecuciones de Curicó,fecha de ocurrencia,abril de 1837,chile4_6740
Ejecución de caciques en Talcamávida,número de ejecutados,siete caciques,chile4_8929
Ejército chileno,lugar de acampamiento,lomas de Cuadros,chile4_582
Ejército chileno,lugar de desembarco,playa de Lechagua,chile4_580
Ejército chileno,armamento de artillería terrestre,cuatro cañones,chile4_573
Ejército chileno a principios de 1825,deuda de sueldos desde,fines del año anterior,chile4_3934
Ejército chileno en el Perú,comandante,Francisco Antonio Pinto,chile4_2239
Ejército de Alonso de Ribera,número de tropas disponibles para expedición,542,chile1_9816
Ejército de Alonso de Ribera,fecha de inicio de marcha hacia el sur,21 de febrero,chile1_9817
Ejército de Andrés de Santa Cruz,destino tras desastres,embarcó rumbo al Callao,chile4_2427
Ejército de Canterac,composición,tres cuerpos por tres direcciones,chile4_2278
Ejército de Chile,cantidad de soldados inútiles,600 hombres,chile4_9629
Ejército de Chile,composición,dos mil hombres,chile1_10916
Ejército de Chile,cantidad de hombres,1.600 hombres,chile4_9628
Ejército de Chile,composición proyectada,2000 hombres,chile1_10660
Ejército de Chile,cantidad de plazas fijas con residencia actual,ciento cincuenta,chile4_13120
Ejército de Chile,monto de situado anual,doscientos noventa mil pesos,chile4_13119
Ejército de Chile (1778),composición,dos batallones de infantería,chile4_18189
"Ejército de Chile (sin incluir tropas en Valdivia, Osorno y Chiloé)",número de integrantes,708 hombres,chile1_9975
Ejército de Chile en 1618,cantidad de integrantes,1400 hombres,chile4_8310
Ejército de Chile en 1618,lugar de distribución,Yumbel,chile4_8311
Ejército de Chile en 1618,lugar de distribución,Fuertes de la frontera,chile4_8313
Ejército de Chile en 1618,lugar de distribución,Arauco,chile4_8312
Ejército de Chile según informe de 1639,número de plazas,Cerca de 2.000 hombres,chile4_10047
Ejército de Diego de Almagro,lugar de paso,valle del río de Jujui,chile1_1573
Ejército de Diego de Almagro,lugar de llegada,llanura de Chicoana,chile1_1575
Ejército de Don Juan de Salazar,destino de expedición,contra los cuncos,chile4_10901
Ejército de García Ramón en Santiago,composición de,cerca de 1200 hombres,chile1_10687
Ejército de José de San Martín al Perú,cantidad regresada a Chile,ningún piquete,chile4_2388
Ejército de José de San Martín al Perú,año de partida,1820,chile4_2387
Ejército de Lazo de la Vega,fecha de regreso,mediados de marzo,chile4_9674
Ejército de Lazo de la Vega,lugar de reconcentración,ribera sur del Biobío,chile4_9669
Ejército de Lazo de la Vega en Yumbel,número total de tropas,mil ochocientos hombres,chile4_9741
Ejército de Santa Cruz,estado al momento de captura de Mackenna,Derrotado,chile4_2583
Ejército de Sotomayor,número de soldados españoles criollos,5000,chile1_7590
Ejército de Sotomayor,número de arcabuceros,250,chile1_7591
Ejército de la frontera chilena,característica de armamento,generalmente mal armados,chile4_11673
Ejército de la frontera chilena,cantidad de hombres,dos mil quinientos,chile4_11672
Ejército de la frontera de Chile,situación de deuda de sueldos de,ocho años,chile4_14741
Ejército de los Andes,documentos sobre su organización copiados en,Mendoza,chile4_7311
Ejército del Gobernador Francisco de Quiñones,fecha de llegada a Angol,13 de abril,chile1_9285
Ejército del Gobernador Francisco de Quiñones,fecha de salida de Angol,18 de abril,chile1_9294
Ejército del Gobernador Lazo de la Vega,número de soldados en campaña de 1636,1500 entre españoles e indios,chile4_9869
Ejército del Virrex La Serna,lugar de pérdida,Perú,chile4_351
Ejército del sur,edificio ocupado en Valparaíso,convento de la Merced,chile4_1644
Ejército del sur,lugar de campamento,Hacienda de Espejo,chile4_2649
Ejército del sur,número de efectivos embarcados,más de 1600 hombres,chile4_1629
Ejército del sur,lugar de campamento en Valparaíso,barrio del Almendral,chile4_1643
Ejército embarcado en Talcahuano,fecha de zarpe,3 de febrero,chile4_1651
Ejército español,combatiente contra,Araucanos,chile1_7062
Ejército español,lugar de reunión el 2 de febrero,Purén,chile1_10751
Ejército español,combatiente contra,Indios rebelados,chile1_7063
Ejército español,batalla de derrota,Lens,chile4_14643
Ejército español,batalla de derrota,Rocroy,chile4_14642
Ejército español,batalla de derrota,las Dunas,chile4_14644
Ejército español de García Ramón,división en,dos grandes divisiones,chile1_10712
Ejército español de don García,cantidad de tropas,seiscientos hombres,chile1_4238
Ejército español de don García,cantidad de indios auxiliares,cerca de cuatro mil,chile1_4239
Ejército español del Marqués de Baides,número de españoles,1.376,chile4_10096
Ejército español del Marqués de Baides,número de indios auxiliares,940,chile4_10097
Ejército español en Chile,cantidad de soldados útiles en junio de 1607,1.654 hombres,chile1_10862
Ejército español en Chile,pérdidas anuales por enfermedades y deserción,más de doscientas bajas,chile1_10888
Ejército español en Chile,cantidad de cañones,seis,chile1_4220
Ejército español en Chile,cantidad de caballos,cerca de mil,chile1_4219
Ejército español en batalla de Boroa,número de soldados,150 soldados,chile1_10837
Ejército expedicionario español en las ciénagas de Purén,número de indios auxiliares,800,chile4_8147
